id,name,code,implementation,active,prefix,number_next,number_increment,padding,company_id/id
ir_sequence_test_sequence_resupply_subcontractor_427,TEST Sequence Resupply Subcontractor,,standard,1,TE-ST/RES/,1,1,5,base.main_company
ir_sequence_test_sequence_resupply_subcontractor_554,TEST Sequence Resupply Subcontractor,,standard,1,TE-ST/RES/,1,1,5,base.main_company
ir_sequence_test_sequence_in,TEST Sequence in,,standard,1,TE-ST/IN/,1,1,5,base.main_company
ir_sequence_test_sequence_in_861,TEST Sequence in,,standard,1,TEST/IN/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_internal,TEST Sequence internal,,standard,1,TEST/INT/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_internal_421,TEST Sequence internal,,standard,1,TE-ST/INT/,1,1,5,base.main_company
ir_sequence_test_sequence_out,TEST Sequence out,,standard,1,TE-ST/OUT/,1,1,5,base.main_company
ir_sequence_test_sequence_out_862,TEST Sequence out,,standard,1,TEST/OUT/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_packing,TEST Sequence packing,,standard,1,TE-ST/PACK/,1,1,5,base.main_company
ir_sequence_test_sequence_packing_864,TEST Sequence packing,,standard,1,TEST/PACK/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_picking,TEST Sequence picking,,standard,1,TEST/PICK/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_picking_419,TEST Sequence picking,,standard,1,TE-ST/PICK/,1,1,5,base.main_company
ir_sequence_test_sequence_picking_before_manufacturi,TEST Sequence picking before manufacturing,,standard,1,TE-ST/PC/,1,1,5,base.main_company
ir_sequence_test_sequence_picking_before_manufacturi_867,TEST Sequence picking before manufacturing,,standard,1,TEST/PC/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_production,TEST Sequence production,,standard,1,TEST/MO/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_production_425,TEST Sequence production,,standard,1,TE-ST/MO/,1,1,5,base.main_company
ir_sequence_test_sequence_return,TEST Sequence return,,standard,1,TEST/RET/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_return_422,TEST Sequence return,,standard,1,TE-ST/RET/,1,1,5,base.main_company
ir_sequence_test_sequence_stock_after_manufacturing,TEST Sequence stock after manufacturing,,standard,1,TEST/SFP/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_stock_after_manufacturing_424,TEST Sequence stock after manufacturing,,standard,1,TE-ST/SFP/,1,1,5,base.main_company
ir_sequence_test_sequence_subcontracting,TEST Sequence subcontracting,,standard,1,TEST/SBC/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_subcontracting_426,TEST Sequence subcontracting,,standard,1,TE-ST/SBC/,1,1,5,base.main_company
ir_sequence_test_sequence_subcontracting_553,TEST Sequence subcontracting,,standard,1,TE-ST/SBC/,1,1,5,base.main_company
ir_sequence_tp_invoice_no,TP Invoice No,tp.invoice.seq,standard,1,TP/%(year)s/,1,1,5,base.main_company
ir_sequence_tp_invoice_no_899,TP Invoice No,tp.invoice.seq,standard,1,TP/%(year)s/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tp_vendor_bills_check_number_sequence,TP Vendor Bills : Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tv_sale_center_tv_sc_picking_pos,TV Sale Center - TV-SC Picking POS,,standard,1,TV-SC/POS/,1,1,5,base.main_company
